"","Reporting Organsation Reference","Reporting Organisation Narrative","org_name","Organisation Type","tracker_commit","tracker_spend","YYYYMM year and month","Transaction Type Code","x_original_transaction_value_USDm_Sum","Transaction Type","IATI Organisation Name","Tracker Commit","Tracker Spend","Organisation Name","usability","usability_score","year_month"
"30","CA-3","Foreign Affairs, Trade and Development Canada (DFATD)","Canada - Foreign Affairs, Trade and Development","Bilateral","Yes","Yes","202110",2,"96.256868331624","Commitments","Canada - Global Affairs Canada | Affaires mondiales Canada","Yes","Yes","Canada - Foreign Affairs, Trade and Development","Yes","Yes","10-2021"
"31","CA-3","Foreign Affairs, Trade and Development Canada (DFATD)","Canada - Foreign Affairs, Trade and Development","Bilateral","Yes","Yes","202111",2,"24.5042528164","Commitments","Canada - Global Affairs Canada | Affaires mondiales Canada","Yes","Yes","Canada - Foreign Affairs, Trade and Development","Yes","Yes","11-2021"
"32","CA-3","Foreign Affairs, Trade and Development Canada (DFATD)","Canada - Foreign Affairs, Trade and Development","Bilateral","Yes","Yes","202112",2,"1.6872783914","Commitments","Canada - Global Affairs Canada | Affaires mondiales Canada","Yes","Yes","Canada - Foreign Affairs, Trade and Development","Yes","Yes","12-2021"
"33","CH-4",NA,NA,"Bilateral",NA,NA,"202112",NA,"","Commitments","Switzerland - Swiss Agency for Development and Cooperation (SDC)","Yes","Yes","Switzerland - Swiss Agency for Development and Cooperation (SDC)","Yes","Mid","12-2021"
"34","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202101",2,"175.806644232562","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","01-2021"
"35","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202102",2,"311.792879414576","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","02-2021"
"36","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202103",2,"194.769782644024","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","03-2021"
"37","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202104",2,"225.26227285254","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","04-2021"
"38","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202105",2,"214.603977939526","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","05-2021"
"39","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202106",2,"358.114709734908","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","06-2021"
"40","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202107",2,"487.214940302566","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","07-2021"
"41","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202108",2,"289.491451107866","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","08-2021"
