country,earmarked_value,Donor Name,year,transaction_type,flow_type,value,Channel Name,unearmarked_value,earmarked_plus_unearmarked,diff_iati_and_both,diff_percentage
UNDP,3430.00786099999,UNDP,2020,Disbursements,ODA,4369.43984,United Nations Development Programme,400.846465999999,3830.85432699999,538.585513000008,14.0591488745484
UNDP,3580.572442,UNDP,2021,Disbursements,ODA,4643.97961500001,United Nations Development Programme,430.451997000001,4011.024439,632.955176000006,15.7803869217463
UNICEF,4375.654614,UNICEF,2018,Disbursements,ODA,5353.21610200006,United Nations Childrens Fund,1499.195872,5874.850486,-521.634383999937,-8.87910909806152
UNICEF,4027.52680100007,UNICEF,2019,Disbursements,ODA,5650.26054300002,United Nations Childrens Fund,1023.47599999998,5051.00280100005,599.257741999973,11.8641340266397
UNICEF,5707.001063,UNICEF,2020,Disbursements,ODA,5700.75354900003,United Nations Childrens Fund,973.500999999976,6680.50206299998,-979.748513999948,-14.665791653988
UNICEF,5670.44022400016,UNICEF,2021,Disbursements,ODA,6321.34204599999,United Nations Childrens Fund,906.706999999971,6577.14722400013,-255.805178000135,-3.88930290425456
UNIDO,74.227052,,2018,Disbursements,ODA,0,United Nations Industrial Development Organisation,0,74.227052,-74.227052,-100
UNIDO,83.427119,,2019,Disbursements,ODA,0,United Nations Industrial Development Organisation,0,83.427119,-83.427119,-100
UNIDO,113.962362,,2020,Disbursements,ODA,0,United Nations Industrial Development Organisation,0,113.962362,-113.962362,-100
UNIDO,162.832817,,2021,Disbursements,ODA,0,United Nations Industrial Development Organisation,0,162.832817,-162.832817,-100
UNOCHA,809.639712999999,Central Emergency Response Fund,2018,Disbursements,ODA,502.313023323309,United Nations Office of Co-ordination of Humanitarian Affairs,500.50826,1310.147973,-807.834949676691,-61.6598251743195
UNOCHA,678.285313,Central Emergency Response Fund,2019,Disbursements,ODA,541.165120605974,United Nations Office of Co-ordination of Humanitarian Affairs,537.669991999999,1215.955305,-674.790184394025,-55.4946535961719
UNOCHA,689.199709,Central Emergency Response Fund,2020,Disbursements,ODA,787.394255339565,United Nations Office of Co-ordination of Humanitarian Affairs,848.141,1537.340709,-749.946453660435,-48.7820591278205
UNOCHA,721.815606,Central Emergency Response Fund,2021,Disbursements,ODA,610.695640901988,United Nations Office of Co-ordination of Humanitarian Affairs,548.049,1269.864606,-659.168965098012,-51.9086020654089
World Food Programme,5266.205122,WFP,2018,Disbursements,ODA,6554.877224,World Food Programme,185.668493,5451.873615,1103.003609,20.2316430440583
World Food Programme,5933.00380000001,WFP,2019,Disbursements,ODA,7636.704585,World Food Programme,308.90718,6241.91098000001,1394.79360499999,22.3456183445922
World Food Programme,6313.289374,WFP,2020,Disbursements,ODA,8084.405113,World Food Programme,323.981801,6637.271175,1447.133938,21.8031462003659
World Food Programme,7691.84604199998,WFP,2021,Disbursements,ODA,9255.995213,World Food Programme,343.72957,8035.57561199998,1220.41960100002,15.1877060204312
