"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","variable","value","timeframe","rollingyear"
"886","Denmark","Denmark","OOF","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"887","Denmark","Denmark","OOF","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"888","Denmark","Denmark","OOF","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"889","Denmark","Denmark","OOF","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"890","Denmark","Denmark","OOF","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"891","Denmark","Denmark","OOF","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"892","Denmark","Denmark","OOF","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"893","Denmark","Denmark","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"894","Denmark","Denmark","OOF","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"895","Denmark","Denmark","OOF","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"896","Denmark","Denmark","OOF","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"897","Denmark","Denmark","OOF","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"946","Denmark","Denmark","Other flows","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"947","Denmark","Denmark","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"948","Denmark","Denmark","Other flows","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"949","Denmark","Denmark","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"950","Denmark","Denmark","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"951","Denmark","Denmark","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"952","Denmark","Denmark","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"953","Denmark","Denmark","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"954","Denmark","Denmark","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"955","Denmark","Denmark","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"956","Denmark","Denmark","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"957","Denmark","Denmark","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"1006","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"1007","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"1008","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"1009","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"1010","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"1011","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"1012","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"1013","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"1014","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"1015","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"1016","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"1017","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"1066","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"1067","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"1068","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"1069","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"1070","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"1071","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"1072","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"1073","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"1074","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"1075","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"1076","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"1077","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","ODA","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"1126","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"1127","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"1128","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"1129","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"1130","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"1131","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"1132","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"1133","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"1134","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"1135","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"1136","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"1137","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","OOF","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"1186","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Other flows","Commitments",2021,4,10,"Specific donor","Volume",234.732003159528,"Monthly",NA
"1187","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Other flows","Commitments",2021,4,11,"Specific donor","Volume",1069.20877543152,"Monthly",NA
"1188","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Other flows","Commitments",2021,4,12,"Specific donor","Volume",1660.10599943502,"Monthly",NA
"1189","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Other flows","Commitments",2022,1,1,"Specific donor","Volume",391.40430501562,"Monthly",NA
"1190","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Other flows","Commitments",2022,1,2,"Specific donor","Volume",161.61404702976,"Monthly",NA
