"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","oda_oof_other","variable","value","timeframe","rollingyear"
"573","Denmark","Denmark",NA,"Commitments",2021,3,9,"Specific donor","Not specified","Volume",0,"Monthly",NA
"610","Denmark","Denmark",NA,"Commitments",2020,4,10,"Specific donor","ODA","Volume",83.4609247111,"Monthly",NA
"611","Denmark","Denmark",NA,"Commitments",2020,4,11,"Specific donor","ODA","Volume",84.049321086708,"Monthly",NA
"612","Denmark","Denmark",NA,"Commitments",2020,4,12,"Specific donor","ODA","Volume",1103.9731816905,"Monthly",NA
"613","Denmark","Denmark",NA,"Commitments",2021,1,1,"Specific donor","ODA","Volume",622.054449804792,"Monthly",NA
"614","Denmark","Denmark",NA,"Commitments",2021,1,2,"Specific donor","ODA","Volume",349.4368416888,"Monthly",NA
"615","Denmark","Denmark",NA,"Commitments",2021,1,3,"Specific donor","ODA","Volume",446.579191607928,"Monthly",NA
"616","Denmark","Denmark",NA,"Commitments",2021,2,4,"Specific donor","ODA","Volume",324.061101432,"Monthly",NA
"617","Denmark","Denmark",NA,"Commitments",2021,2,5,"Specific donor","ODA","Volume",59.7935947128,"Monthly",NA
"618","Denmark","Denmark",NA,"Commitments",2021,2,6,"Specific donor","ODA","Volume",368.1156964824,"Monthly",NA
"619","Denmark","Denmark",NA,"Commitments",2021,3,7,"Specific donor","ODA","Volume",130.474307978472,"Monthly",NA
"620","Denmark","Denmark",NA,"Commitments",2021,3,8,"Specific donor","ODA","Volume",110.728230156,"Monthly",NA
"621","Denmark","Denmark",NA,"Commitments",2021,3,9,"Specific donor","ODA","Volume",159.6867449388,"Monthly",NA
"658","Denmark","Denmark",NA,"Commitments",2020,4,10,"Specific donor","OOF","Volume",0,"Monthly",NA
"659","Denmark","Denmark",NA,"Commitments",2020,4,11,"Specific donor","OOF","Volume",0,"Monthly",NA
"660","Denmark","Denmark",NA,"Commitments",2020,4,12,"Specific donor","OOF","Volume",0,"Monthly",NA
"661","Denmark","Denmark",NA,"Commitments",2021,1,1,"Specific donor","OOF","Volume",0,"Monthly",NA
"662","Denmark","Denmark",NA,"Commitments",2021,1,2,"Specific donor","OOF","Volume",0,"Monthly",NA
"663","Denmark","Denmark",NA,"Commitments",2021,1,3,"Specific donor","OOF","Volume",0,"Monthly",NA
"664","Denmark","Denmark",NA,"Commitments",2021,2,4,"Specific donor","OOF","Volume",0,"Monthly",NA
"665","Denmark","Denmark",NA,"Commitments",2021,2,5,"Specific donor","OOF","Volume",0,"Monthly",NA
"666","Denmark","Denmark",NA,"Commitments",2021,2,6,"Specific donor","OOF","Volume",0,"Monthly",NA
"667","Denmark","Denmark",NA,"Commitments",2021,3,7,"Specific donor","OOF","Volume",0,"Monthly",NA
"668","Denmark","Denmark",NA,"Commitments",2021,3,8,"Specific donor","OOF","Volume",0,"Monthly",NA
"669","Denmark","Denmark",NA,"Commitments",2021,3,9,"Specific donor","OOF","Volume",0,"Monthly",NA
"706","Denmark","Denmark",NA,"Commitments",2020,4,10,"Specific donor","Other flows","Volume",0,"Monthly",NA
"707","Denmark","Denmark",NA,"Commitments",2020,4,11,"Specific donor","Other flows","Volume",0,"Monthly",NA
"708","Denmark","Denmark",NA,"Commitments",2020,4,12,"Specific donor","Other flows","Volume",0,"Monthly",NA
"709","Denmark","Denmark",NA,"Commitments",2021,1,1,"Specific donor","Other flows","Volume",0,"Monthly",NA
"710","Denmark","Denmark",NA,"Commitments",2021,1,2,"Specific donor","Other flows","Volume",0,"Monthly",NA
"711","Denmark","Denmark",NA,"Commitments",2021,1,3,"Specific donor","Other flows","Volume",0,"Monthly",NA
"712","Denmark","Denmark",NA,"Commitments",2021,2,4,"Specific donor","Other flows","Volume",0,"Monthly",NA
"713","Denmark","Denmark",NA,"Commitments",2021,2,5,"Specific donor","Other flows","Volume",0,"Monthly",NA
"714","Denmark","Denmark",NA,"Commitments",2021,2,6,"Specific donor","Other flows","Volume",0,"Monthly",NA
"715","Denmark","Denmark",NA,"Commitments",2021,3,7,"Specific donor","Other flows","Volume",0,"Monthly",NA
"716","Denmark","Denmark",NA,"Commitments",2021,3,8,"Specific donor","Other flows","Volume",0,"Monthly",NA
"717","Denmark","Denmark",NA,"Commitments",2021,3,9,"Specific donor","Other flows","Volume",0,"Monthly",NA
"754","EC","EC",NA,"Commitments",2020,4,10,"Specific donor","All flows","Volume",441.623392126065,"Monthly",NA
"755","EC","EC",NA,"Commitments",2020,4,11,"Specific donor","All flows","Volume",142.806837149415,"Monthly",NA
"756","EC","EC",NA,"Commitments",2020,4,12,"Specific donor","All flows","Volume",567.18812855988,"Monthly",NA
"757","EC","EC",NA,"Commitments",2021,1,1,"Specific donor","All flows","Volume",0,"Monthly",NA
"758","EC","EC",NA,"Commitments",2021,1,2,"Specific donor","All flows","Volume",4.227778865583,"Monthly",NA
"759","EC","EC",NA,"Commitments",2021,1,3,"Specific donor","All flows","Volume",-67.499227139148,"Monthly",NA
"760","EC","EC",NA,"Commitments",2021,2,4,"Specific donor","All flows","Volume",190.079746081119,"Monthly",NA
