"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","oda_oof_other","variable","value","timeframe","rollingyear"
"52241","Unitaid","Unitaid",NA,"Disbursements",2021,2,4,"Specific donor","OOF","Volume",0.977411,"Monthly",NA
"52251","Unitaid","Unitaid",NA,"Disbursements",2021,2,5,"Specific donor","OOF","Volume",28.746176,"Monthly",NA
"52261","Unitaid","Unitaid",NA,"Disbursements",2021,2,6,"Specific donor","OOF","Volume",100.208695,"Monthly",NA
"52271","Unitaid","Unitaid",NA,"Disbursements",2021,3,7,"Specific donor","OOF","Volume",40.338939,"Monthly",NA
"52281","Unitaid","Unitaid",NA,"Disbursements",2021,3,8,"Specific donor","OOF","Volume",14.276466,"Monthly",NA
"52291","Unitaid","Unitaid",NA,"Disbursements",2021,3,9,"Specific donor","OOF","Volume",30.576571,"Monthly",NA
"52661","Unitaid","Unitaid",NA,"Disbursements",2020,4,10,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52671","Unitaid","Unitaid",NA,"Disbursements",2020,4,11,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52681","Unitaid","Unitaid",NA,"Disbursements",2020,4,12,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52691","Unitaid","Unitaid",NA,"Disbursements",2021,1,1,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52701","Unitaid","Unitaid",NA,"Disbursements",2021,1,2,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52711","Unitaid","Unitaid",NA,"Disbursements",2021,1,3,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52721","Unitaid","Unitaid",NA,"Disbursements",2021,2,4,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52731","Unitaid","Unitaid",NA,"Disbursements",2021,2,5,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52741","Unitaid","Unitaid",NA,"Disbursements",2021,2,6,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52751","Unitaid","Unitaid",NA,"Disbursements",2021,3,7,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52761","Unitaid","Unitaid",NA,"Disbursements",2021,3,8,"Specific donor","Other flows","Volume",0,"Monthly",NA
"52771","Unitaid","Unitaid",NA,"Disbursements",2021,3,9,"Specific donor","Other flows","Volume",0,"Monthly",NA
"53141","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,10,"Specific donor","All flows","Volume",0,"Monthly",NA
"53151","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,11,"Specific donor","All flows","Volume",0,"Monthly",NA
"53161","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,12,"Specific donor","All flows","Volume",135.587987,"Monthly",NA
"53171","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,1,"Specific donor","All flows","Volume",0,"Monthly",NA
"53181","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,2,"Specific donor","All flows","Volume",0,"Monthly",NA
"53191","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,3,"Specific donor","All flows","Volume",0,"Monthly",NA
"53201","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,4,"Specific donor","All flows","Volume",0,"Monthly",NA
"53211","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,5,"Specific donor","All flows","Volume",0,"Monthly",NA
"53221","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,6,"Specific donor","All flows","Volume",0,"Monthly",NA
"53231","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,7,"Specific donor","All flows","Volume",0,"Monthly",NA
"53241","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,8,"Specific donor","All flows","Volume",0,"Monthly",NA
"53251","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,9,"Specific donor","All flows","Volume",0,"Monthly",NA
"53621","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,10,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53631","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,11,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53641","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,12,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53651","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,1,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53661","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,2,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53671","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,3,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53681","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,4,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53691","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,5,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53701","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,6,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53711","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,7,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53721","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,8,"Specific donor","Not specified","Volume",0,"Monthly",NA
"53731","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,9,"Specific donor","Not specified","Volume",0,"Monthly",NA
"54101","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,10,"Specific donor","ODA","Volume",0,"Monthly",NA
"54111","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,11,"Specific donor","ODA","Volume",0,"Monthly",NA
"54121","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,12,"Specific donor","ODA","Volume",0,"Monthly",NA
"54131","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,1,"Specific donor","ODA","Volume",0,"Monthly",NA
"54141","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,2,"Specific donor","ODA","Volume",0,"Monthly",NA
"54151","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,3,"Specific donor","ODA","Volume",0,"Monthly",NA
"54161","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,4,"Specific donor","ODA","Volume",0,"Monthly",NA
"54171","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,5,"Specific donor","ODA","Volume",0,"Monthly",NA
"54181","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,6,"Specific donor","ODA","Volume",0,"Monthly",NA
"54191","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,7,"Specific donor","ODA","Volume",0,"Monthly",NA
"54201","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,8,"Specific donor","ODA","Volume",0,"Monthly",NA
"54211","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,9,"Specific donor","ODA","Volume",0,"Monthly",NA
"54581","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,10,"Specific donor","OOF","Volume",0,"Monthly",NA
"54591","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,11,"Specific donor","OOF","Volume",0,"Monthly",NA
"54601","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,12,"Specific donor","OOF","Volume",135.587987,"Monthly",NA
"54611","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,1,"Specific donor","OOF","Volume",0,"Monthly",NA
"54621","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,2,"Specific donor","OOF","Volume",0,"Monthly",NA
"54631","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,3,"Specific donor","OOF","Volume",0,"Monthly",NA
"54641","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,4,"Specific donor","OOF","Volume",0,"Monthly",NA
"54651","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,5,"Specific donor","OOF","Volume",0,"Monthly",NA
"54661","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,6,"Specific donor","OOF","Volume",0,"Monthly",NA
"54671","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,7,"Specific donor","OOF","Volume",0,"Monthly",NA
"54681","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,8,"Specific donor","OOF","Volume",0,"Monthly",NA
"54691","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,9,"Specific donor","OOF","Volume",0,"Monthly",NA
"55061","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,10,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55071","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,11,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55081","UNOCHA","UNOCHA",NA,"Disbursements",2020,4,12,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55091","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,1,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55101","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,2,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55111","UNOCHA","UNOCHA",NA,"Disbursements",2021,1,3,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55121","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,4,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55131","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,5,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55141","UNOCHA","UNOCHA",NA,"Disbursements",2021,2,6,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55151","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,7,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55161","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,8,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55171","UNOCHA","UNOCHA",NA,"Disbursements",2021,3,9,"Specific donor","Other flows","Volume",0,"Monthly",NA
"55541","UNRWA","UNRWA",NA,"Disbursements",2020,4,10,"Specific donor","All flows","Volume",0,"Monthly",NA
"55551","UNRWA","UNRWA",NA,"Disbursements",2020,4,11,"Specific donor","All flows","Volume",0,"Monthly",NA
"55561","UNRWA","UNRWA",NA,"Disbursements",2020,4,12,"Specific donor","All flows","Volume",981.29076825,"Monthly",NA
"55571","UNRWA","UNRWA",NA,"Disbursements",2021,1,1,"Specific donor","All flows","Volume",0,"Monthly",NA
"55581","UNRWA","UNRWA",NA,"Disbursements",2021,1,2,"Specific donor","All flows","Volume",0,"Monthly",NA
"55591","UNRWA","UNRWA",NA,"Disbursements",2021,1,3,"Specific donor","All flows","Volume",375.69991032,"Monthly",NA
"55601","UNRWA","UNRWA",NA,"Disbursements",2021,2,4,"Specific donor","All flows","Volume",0,"Monthly",NA
"55611","UNRWA","UNRWA",NA,"Disbursements",2021,2,5,"Specific donor","All flows","Volume",0,"Monthly",NA
"55621","UNRWA","UNRWA",NA,"Disbursements",2021,2,6,"Specific donor","All flows","Volume",144.97993466,"Monthly",NA
"55631","UNRWA","UNRWA",NA,"Disbursements",2021,3,7,"Specific donor","All flows","Volume",0,"Monthly",NA
"55641","UNRWA","UNRWA",NA,"Disbursements",2021,3,8,"Specific donor","All flows","Volume",0,"Monthly",NA
"55651","UNRWA","UNRWA",NA,"Disbursements",2021,3,9,"Specific donor","All flows","Volume",555.82083542,"Monthly",NA
"56021","UNRWA","UNRWA",NA,"Disbursements",2020,4,10,"Specific donor","Not specified","Volume",0,"Monthly",NA
"56031","UNRWA","UNRWA",NA,"Disbursements",2020,4,11,"Specific donor","Not specified","Volume",0,"Monthly",NA
"56041","UNRWA","UNRWA",NA,"Disbursements",2020,4,12,"Specific donor","Not specified","Volume",981.29076825,"Monthly",NA
"56051","UNRWA","UNRWA",NA,"Disbursements",2021,1,1,"Specific donor","Not specified","Volume",0,"Monthly",NA
"56061","UNRWA","UNRWA",NA,"Disbursements",2021,1,2,"Specific donor","Not specified","Volume",0,"Monthly",NA
"56071","UNRWA","UNRWA",NA,"Disbursements",2021,1,3,"Specific donor","Not specified","Volume",375.69991032,"Monthly",NA
"56081","UNRWA","UNRWA",NA,"Disbursements",2021,2,4,"Specific donor","Not specified","Volume",0,"Monthly",NA
"56091","UNRWA","UNRWA",NA,"Disbursements",2021,2,5,"Specific donor","Not specified","Volume",0,"Monthly",NA
"56101","UNRWA","UNRWA",NA,"Disbursements",2021,2,6,"Specific donor","Not specified","Volume",144.97993466,"Monthly",NA
"56111","UNRWA","UNRWA",NA,"Disbursements",2021,3,7,"Specific donor","Not specified","Volume",0,"Monthly",NA
"56121","UNRWA","UNRWA",NA,"Disbursements",2021,3,8,"Specific donor","Not specified","Volume",0,"Monthly",NA
"56131","UNRWA","UNRWA",NA,"Disbursements",2021,3,9,"Specific donor","Not specified","Volume",555.82083542,"Monthly",NA
"56501","UNRWA","UNRWA",NA,"Disbursements",2020,4,10,"Specific donor","ODA","Volume",0,"Monthly",NA
"56512","UNRWA","UNRWA",NA,"Disbursements",2020,4,11,"Specific donor","ODA","Volume",0,"Monthly",NA
"56521","UNRWA","UNRWA",NA,"Disbursements",2020,4,12,"Specific donor","ODA","Volume",0,"Monthly",NA
"56531","UNRWA","UNRWA",NA,"Disbursements",2021,1,1,"Specific donor","ODA","Volume",0,"Monthly",NA
"56541","UNRWA","UNRWA",NA,"Disbursements",2021,1,2,"Specific donor","ODA","Volume",0,"Monthly",NA
"56551","UNRWA","UNRWA",NA,"Disbursements",2021,1,3,"Specific donor","ODA","Volume",0,"Monthly",NA
"56561","UNRWA","UNRWA",NA,"Disbursements",2021,2,4,"Specific donor","ODA","Volume",0,"Monthly",NA
"56571","UNRWA","UNRWA",NA,"Disbursements",2021,2,5,"Specific donor","ODA","Volume",0,"Monthly",NA
"56581","UNRWA","UNRWA",NA,"Disbursements",2021,2,6,"Specific donor","ODA","Volume",0,"Monthly",NA
"56591","UNRWA","UNRWA",NA,"Disbursements",2021,3,7,"Specific donor","ODA","Volume",0,"Monthly",NA
"56601","UNRWA","UNRWA",NA,"Disbursements",2021,3,8,"Specific donor","ODA","Volume",0,"Monthly",NA
"56611","UNRWA","UNRWA",NA,"Disbursements",2021,3,9,"Specific donor","ODA","Volume",0,"Monthly",NA
"56981","UNRWA","UNRWA",NA,"Disbursements",2020,4,10,"Specific donor","OOF","Volume",0,"Monthly",NA
"56991","UNRWA","UNRWA",NA,"Disbursements",2020,4,11,"Specific donor","OOF","Volume",0,"Monthly",NA
"57001","UNRWA","UNRWA",NA,"Disbursements",2020,4,12,"Specific donor","OOF","Volume",0,"Monthly",NA
"57014","UNRWA","UNRWA",NA,"Disbursements",2021,1,1,"Specific donor","OOF","Volume",0,"Monthly",NA
"57021","UNRWA","UNRWA",NA,"Disbursements",2021,1,2,"Specific donor","OOF","Volume",0,"Monthly",NA
"57031","UNRWA","UNRWA",NA,"Disbursements",2021,1,3,"Specific donor","OOF","Volume",0,"Monthly",NA
"57041","UNRWA","UNRWA",NA,"Disbursements",2021,2,4,"Specific donor","OOF","Volume",0,"Monthly",NA
"57051","UNRWA","UNRWA",NA,"Disbursements",2021,2,5,"Specific donor","OOF","Volume",0,"Monthly",NA
"57061","UNRWA","UNRWA",NA,"Disbursements",2021,2,6,"Specific donor","OOF","Volume",0,"Monthly",NA
"57071","UNRWA","UNRWA",NA,"Disbursements",2021,3,7,"Specific donor","OOF","Volume",0,"Monthly",NA
"57081","UNRWA","UNRWA",NA,"Disbursements",2021,3,8,"Specific donor","OOF","Volume",0,"Monthly",NA
"57091","UNRWA","UNRWA",NA,"Disbursements",2021,3,9,"Specific donor","OOF","Volume",0,"Monthly",NA
"57461","UNRWA","UNRWA",NA,"Disbursements",2020,4,10,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57471","UNRWA","UNRWA",NA,"Disbursements",2020,4,11,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57481","UNRWA","UNRWA",NA,"Disbursements",2020,4,12,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57491","UNRWA","UNRWA",NA,"Disbursements",2021,1,1,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57501","UNRWA","UNRWA",NA,"Disbursements",2021,1,2,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57511","UNRWA","UNRWA",NA,"Disbursements",2021,1,3,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57521","UNRWA","UNRWA",NA,"Disbursements",2021,2,4,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57531","UNRWA","UNRWA",NA,"Disbursements",2021,2,5,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57541","UNRWA","UNRWA",NA,"Disbursements",2021,2,6,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57551","UNRWA","UNRWA",NA,"Disbursements",2021,3,7,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57561","UNRWA","UNRWA",NA,"Disbursements",2021,3,8,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57571","UNRWA","UNRWA",NA,"Disbursements",2021,3,9,"Specific donor","Other flows","Volume",0,"Monthly",NA
"57941","US","US",NA,"Disbursements",2020,4,10,"Specific donor","All flows","Volume",1462.47292145,"Monthly",NA
"57951","US","US",NA,"Disbursements",2020,4,11,"Specific donor","All flows","Volume",1127.76773661,"Monthly",NA
"57961","US","US",NA,"Disbursements",2020,4,12,"Specific donor","All flows","Volume",2561.67865488,"Monthly",NA
"57971","US","US",NA,"Disbursements",2021,1,1,"Specific donor","All flows","Volume",270.25415611,"Monthly",NA
"57981","US","US",NA,"Disbursements",2021,1,2,"Specific donor","All flows","Volume",1241.91417577,"Monthly",NA
"57991","US","US",NA,"Disbursements",2021,1,3,"Specific donor","All flows","Volume",5377.80065328996,"Monthly",NA
"58001","US","US",NA,"Disbursements",2021,2,4,"Specific donor","All flows","Volume",412.183418800001,"Monthly",NA
"58011","US","US",NA,"Disbursements",2021,2,5,"Specific donor","All flows","Volume",863.834417389999,"Monthly",NA
"58021","US","US",NA,"Disbursements",2021,2,6,"Specific donor","All flows","Volume",3441.04935214,"Monthly",NA
"58031","US","US",NA,"Disbursements",2021,3,7,"Specific donor","All flows","Volume",6993.15440773999,"Monthly",NA
"58041","US","US",NA,"Disbursements",2021,3,8,"Specific donor","All flows","Volume",1463.10597939,"Monthly",NA
"58051","US","US",NA,"Disbursements",2021,3,9,"Specific donor","All flows","Volume",3439.40378544001,"Monthly",NA
"58421","US","US",NA,"Disbursements",2020,4,10,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58431","US","US",NA,"Disbursements",2020,4,11,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58441","US","US",NA,"Disbursements",2020,4,12,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58451","US","US",NA,"Disbursements",2021,1,1,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58461","US","US",NA,"Disbursements",2021,1,2,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58471","US","US",NA,"Disbursements",2021,1,3,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58481","US","US",NA,"Disbursements",2021,2,4,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58491","US","US",NA,"Disbursements",2021,2,5,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58501","US","US",NA,"Disbursements",2021,2,6,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58511","US","US",NA,"Disbursements",2021,3,7,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58521","US","US",NA,"Disbursements",2021,3,8,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58531","US","US",NA,"Disbursements",2021,3,9,"Specific donor","Not specified","Volume",0,"Monthly",NA
"58901","US","US",NA,"Disbursements",2020,4,10,"Specific donor","ODA","Volume",1462.47292145,"Monthly",NA
"58911","US","US",NA,"Disbursements",2020,4,11,"Specific donor","ODA","Volume",1127.76773661,"Monthly",NA
"58921","US","US",NA,"Disbursements",2020,4,12,"Specific donor","ODA","Volume",2561.67865488,"Monthly",NA
"58931","US","US",NA,"Disbursements",2021,1,1,"Specific donor","ODA","Volume",270.25415611,"Monthly",NA
"58941","US","US",NA,"Disbursements",2021,1,2,"Specific donor","ODA","Volume",1241.91417577,"Monthly",NA
"58951","US","US",NA,"Disbursements",2021,1,3,"Specific donor","ODA","Volume",5377.80065328996,"Monthly",NA
"58961","US","US",NA,"Disbursements",2021,2,4,"Specific donor","ODA","Volume",412.183418800001,"Monthly",NA
"58971","US","US",NA,"Disbursements",2021,2,5,"Specific donor","ODA","Volume",863.834417389999,"Monthly",NA
"58981","US","US",NA,"Disbursements",2021,2,6,"Specific donor","ODA","Volume",3441.04935214,"Monthly",NA
"58991","US","US",NA,"Disbursements",2021,3,7,"Specific donor","ODA","Volume",6993.15440773999,"Monthly",NA
"59001","US","US",NA,"Disbursements",2021,3,8,"Specific donor","ODA","Volume",1463.10597939,"Monthly",NA
"59011","US","US",NA,"Disbursements",2021,3,9,"Specific donor","ODA","Volume",3439.40378544001,"Monthly",NA
"59381","US","US",NA,"Disbursements",2020,4,10,"Specific donor","OOF","Volume",0,"Monthly",NA
"59391","US","US",NA,"Disbursements",2020,4,11,"Specific donor","OOF","Volume",0,"Monthly",NA
"59401","US","US",NA,"Disbursements",2020,4,12,"Specific donor","OOF","Volume",0,"Monthly",NA
"59411","US","US",NA,"Disbursements",2021,1,1,"Specific donor","OOF","Volume",0,"Monthly",NA
"59421","US","US",NA,"Disbursements",2021,1,2,"Specific donor","OOF","Volume",0,"Monthly",NA
"59431","US","US",NA,"Disbursements",2021,1,3,"Specific donor","OOF","Volume",0,"Monthly",NA
"59441","US","US",NA,"Disbursements",2021,2,4,"Specific donor","OOF","Volume",0,"Monthly",NA
"59451","US","US",NA,"Disbursements",2021,2,5,"Specific donor","OOF","Volume",0,"Monthly",NA
"59461","US","US",NA,"Disbursements",2021,2,6,"Specific donor","OOF","Volume",0,"Monthly",NA
"59471","US","US",NA,"Disbursements",2021,3,7,"Specific donor","OOF","Volume",0,"Monthly",NA
"59481","US","US",NA,"Disbursements",2021,3,8,"Specific donor","OOF","Volume",0,"Monthly",NA
"59491","US","US",NA,"Disbursements",2021,3,9,"Specific donor","OOF","Volume",0,"Monthly",NA
"59861","US","US",NA,"Disbursements",2020,4,10,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59871","US","US",NA,"Disbursements",2020,4,11,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59881","US","US",NA,"Disbursements",2020,4,12,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59891","US","US",NA,"Disbursements",2021,1,1,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59901","US","US",NA,"Disbursements",2021,1,2,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59911","US","US",NA,"Disbursements",2021,1,3,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59921","US","US",NA,"Disbursements",2021,2,4,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59931","US","US",NA,"Disbursements",2021,2,5,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59941","US","US",NA,"Disbursements",2021,2,6,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59951","US","US",NA,"Disbursements",2021,3,7,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59961","US","US",NA,"Disbursements",2021,3,8,"Specific donor","Other flows","Volume",0,"Monthly",NA
"59971","US","US",NA,"Disbursements",2021,3,9,"Specific donor","Other flows","Volume",0,"Monthly",NA
"60341","World Bank","World Bank",NA,"Disbursements",2020,4,10,"Specific donor","All flows","Volume",0,"Monthly",NA
"60351","World Bank","World Bank",NA,"Disbursements",2020,4,11,"Specific donor","All flows","Volume",0,"Monthly",NA
"60361","World Bank","World Bank",NA,"Disbursements",2020,4,12,"Specific donor","All flows","Volume",11648.59470056,"Monthly",NA
"60371","World Bank","World Bank",NA,"Disbursements",2021,1,1,"Specific donor","All flows","Volume",0.014294,"Monthly",NA
"60381","World Bank","World Bank",NA,"Disbursements",2021,1,2,"Specific donor","All flows","Volume",0,"Monthly",NA
"60391","World Bank","World Bank",NA,"Disbursements",2021,1,3,"Specific donor","All flows","Volume",10022.06820904,"Monthly",NA
"60401","World Bank","World Bank",NA,"Disbursements",2021,2,4,"Specific donor","All flows","Volume",0,"Monthly",NA
"60411","World Bank","World Bank",NA,"Disbursements",2021,2,5,"Specific donor","All flows","Volume",0,"Monthly",NA
"60421","World Bank","World Bank",NA,"Disbursements",2021,2,6,"Specific donor","All flows","Volume",13077.17445181,"Monthly",NA
"60431","World Bank","World Bank",NA,"Disbursements",2021,3,7,"Specific donor","All flows","Volume",0,"Monthly",NA
"60441","World Bank","World Bank",NA,"Disbursements",2021,3,8,"Specific donor","All flows","Volume",0,"Monthly",NA
"60451","World Bank","World Bank",NA,"Disbursements",2021,3,9,"Specific donor","All flows","Volume",9656.42696163004,"Monthly",NA
"60821","World Bank","World Bank",NA,"Disbursements",2020,4,10,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60831","World Bank","World Bank",NA,"Disbursements",2020,4,11,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60841","World Bank","World Bank",NA,"Disbursements",2020,4,12,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60851","World Bank","World Bank",NA,"Disbursements",2021,1,1,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60861","World Bank","World Bank",NA,"Disbursements",2021,1,2,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60871","World Bank","World Bank",NA,"Disbursements",2021,1,3,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60881","World Bank","World Bank",NA,"Disbursements",2021,2,4,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60891","World Bank","World Bank",NA,"Disbursements",2021,2,5,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60901","World Bank","World Bank",NA,"Disbursements",2021,2,6,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60911","World Bank","World Bank",NA,"Disbursements",2021,3,7,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60921","World Bank","World Bank",NA,"Disbursements",2021,3,8,"Specific donor","Not specified","Volume",0,"Monthly",NA
"60931","World Bank","World Bank",NA,"Disbursements",2021,3,9,"Specific donor","Not specified","Volume",0,"Monthly",NA
"61301","World Bank","World Bank",NA,"Disbursements",2020,4,10,"Specific donor","ODA","Volume",0,"Monthly",NA
"61312","World Bank","World Bank",NA,"Disbursements",2020,4,11,"Specific donor","ODA","Volume",0,"Monthly",NA
"61321","World Bank","World Bank",NA,"Disbursements",2020,4,12,"Specific donor","ODA","Volume",5321.80689455999,"Monthly",NA
"61331","World Bank","World Bank",NA,"Disbursements",2021,1,1,"Specific donor","ODA","Volume",0.014294,"Monthly",NA
"61341","World Bank","World Bank",NA,"Disbursements",2021,1,2,"Specific donor","ODA","Volume",0,"Monthly",NA
"61351","World Bank","World Bank",NA,"Disbursements",2021,1,3,"Specific donor","ODA","Volume",5597.4889476,"Monthly",NA
"61361","World Bank","World Bank",NA,"Disbursements",2021,2,4,"Specific donor","ODA","Volume",0,"Monthly",NA
"61371","World Bank","World Bank",NA,"Disbursements",2021,2,5,"Specific donor","ODA","Volume",0,"Monthly",NA
"61381","World Bank","World Bank",NA,"Disbursements",2021,2,6,"Specific donor","ODA","Volume",7779.56432249998,"Monthly",NA
"61391","World Bank","World Bank",NA,"Disbursements",2021,3,7,"Specific donor","ODA","Volume",0,"Monthly",NA
"61401","World Bank","World Bank",NA,"Disbursements",2021,3,8,"Specific donor","ODA","Volume",0,"Monthly",NA
"61411","World Bank","World Bank",NA,"Disbursements",2021,3,9,"Specific donor","ODA","Volume",3504.09741109001,"Monthly",NA
"61781","World Bank","World Bank",NA,"Disbursements",2020,4,10,"Specific donor","OOF","Volume",0,"Monthly",NA
"61791","World Bank","World Bank",NA,"Disbursements",2020,4,11,"Specific donor","OOF","Volume",0,"Monthly",NA
"61801","World Bank","World Bank",NA,"Disbursements",2020,4,12,"Specific donor","OOF","Volume",6326.787806,"Monthly",NA
"61814","World Bank","World Bank",NA,"Disbursements",2021,1,1,"Specific donor","OOF","Volume",0,"Monthly",NA
